Date,Time,Air Quality Index,PM2.5,PM10,AQI Category
2024-06-01,04:00:00,144,97.0,155.2,Moderate
2024-06-01,05:00:00,147,98.5,157.6,Moderate
2024-06-01,06:00:00,164,107.0,171.2,Moderate
2024-06-01,07:00:00,217,108.5,173.6,Poor
2024-06-01,08:00:00,217,108.5,173.6,Poor
2024-06-01,09:00:00,159,79.5,127.2,Moderate
2024-06-01,10:00:00,233,116.5,186.4,Poor
2024-06-01,11:00:00,171,85.5,136.8,Moderate
2024-06-01,12:00:00,186,93.0,148.8,Moderate
2024-06-01,13:00:00,237,118.5,189.6,Poor
2024-06-01,14:00:00,220,110.0,176.0,Poor
2024-06-01,15:00:00,238,119.0,190.4,Poor
2024-06-01,16:00:00,238,119.0,190.4,Poor
2024-06-01,17:00:00,162,81.0,129.6,Moderate
2024-06-01,18:00:00,208,104.0,166.4,Poor
2024-06-01,19:00:00,215,107.5,172.0,Poor
2024-06-01,20:00:00,139,94.5,151.2,Moderate
2024-06-01,21:00:00,187,118.5,189.6,Moderate
2024-06-01,22:00:00,146,98.0,156.8,Moderate
2024-06-01,23:00:00,188,119.0,190.4,Moderate
2024-06-01,00:00:00,181,115.5,184.8,Moderate
2024-06-01,01:00:00,137,93.5,149.6,Moderate
2024-06-01,02:00:00,125,87.5,140.0,Moderate
2024-06-01,03:00:00,177,113.5,181.6,Moderate
2024-06-02,04:00:00,172,111.0,177.6,Moderate
2024-06-02,05:00:00,109,79.5,127.2,Moderate
2024-06-02,06:00:00,120,85.0,136.0,Moderate
2024-06-02,07:00:00,230,115.0,184.0,Poor
2024-06-02,08:00:00,219,109.5,175.2,Poor
2024-06-02,09:00:00,229,114.5,183.2,Poor
2024-06-02,10:00:00,197,98.5,157.6,Moderate
2024-06-02,11:00:00,214,107.0,171.2,Poor
2024-06-02,12:00:00,232,116.0,185.6,Poor
2024-06-02,13:00:00,249,124.5,199.2,Poor
2024-06-02,14:00:00,238,119.0,190.4,Poor
2024-06-02,15:00:00,199,99.5,159.2,Moderate
2024-06-02,16:00:00,179,89.5,143.2,Moderate
2024-06-02,17:00:00,169,84.5,135.2,Moderate
2024-06-02,18:00:00,169,84.5,135.2,Moderate
2024-06-02,19:00:00,164,82.0,131.2,Moderate
2024-06-02,20:00:00,139,94.5,151.2,Moderate
2024-06-02,21:00:00,132,91.0,145.6,Moderate
2024-06-02,22:00:00,165,107.5,172.0,Moderate
2024-06-02,23:00:00,109,79.5,127.2,Moderate
2024-06-02,00:00:00,157,103.5,165.6,Moderate
2024-06-02,01:00:00,132,91.0,145.6,Moderate
2024-06-02,02:00:00,131,90.5,144.8,Moderate
2024-06-02,03:00:00,174,112.0,179.2,Moderate
2024-06-03,04:00:00,123,86.5,138.4,Moderate
2024-06-03,05:00:00,135,92.5,148.0,Moderate
2024-06-03,06:00:00,175,112.5,180.0,Moderate
2024-06-03,07:00:00,205,102.5,164.0,Poor
2024-06-03,08:00:00,178,89.0,142.4,Moderate
2024-06-03,09:00:00,184,92.0,147.2,Moderate
2024-06-03,10:00:00,150,75.0,120.0,Moderate
2024-06-03,11:00:00,150,75.0,120.0,Moderate
2024-06-03,12:00:00,186,93.0,148.8,Moderate
2024-06-03,13:00:00,203,101.5,162.4,Poor
2024-06-03,14:00:00,155,77.5,124.0,Moderate
2024-06-03,15:00:00,188,94.0,150.4,Moderate
2024-06-03,16:00:00,167,83.5,133.6,Moderate
2024-06-03,17:00:00,229,114.5,183.2,Poor
2024-06-03,18:00:00,154,77.0,123.2,Moderate
2024-06-03,19:00:00,192,96.0,153.6,Moderate
2024-06-03,20:00:00,158,104.0,166.4,Moderate
2024-06-03,21:00:00,131,90.5,144.8,Moderate
2024-06-03,22:00:00,101,75.5,120.8,Moderate
2024-06-03,23:00:00,165,107.5,172.0,Moderate
2024-06-03,00:00:00,141,95.5,152.8,Moderate
2024-06-03,01:00:00,157,103.5,165.6,Moderate
2024-06-03,02:00:00,135,92.5,148.0,Moderate
2024-06-03,03:00:00,111,80.5,128.8,Moderate
2024-06-04,04:00:00,146,98.0,156.8,Moderate
2024-06-04,05:00:00,182,116.0,185.6,Moderate
2024-06-04,06:00:00,191,120.5,192.8,Moderate
2024-06-04,07:00:00,150,75.0,120.0,Moderate
2024-06-04,08:00:00,164,82.0,131.2,Moderate
2024-06-04,09:00:00,249,124.5,199.2,Poor
2024-06-04,10:00:00,203,101.5,162.4,Poor
2024-06-04,11:00:00,162,81.0,129.6,Moderate
2024-06-04,12:00:00,192,96.0,153.6,Moderate
2024-06-04,13:00:00,234,117.0,187.2,Poor
2024-06-04,14:00:00,225,112.5,180.0,Poor
2024-06-04,15:00:00,218,109.0,174.4,Poor
2024-06-04,16:00:00,156,78.0,124.8,Moderate
2024-06-04,17:00:00,218,109.0,174.4,Poor
2024-06-04,18:00:00,197,98.5,157.6,Moderate
2024-06-04,19:00:00,153,76.5,122.4,Moderate
2024-06-04,20:00:00,176,113.0,180.8,Moderate
2024-06-04,21:00:00,200,125.0,200.0,Moderate
2024-06-04,22:00:00,152,101.0,161.6,Moderate
2024-06-04,23:00:00,178,114.0,182.4,Moderate
2024-06-04,00:00:00,115,82.5,132.0,Moderate
2024-06-04,01:00:00,120,85.0,136.0,Moderate
2024-06-04,02:00:00,199,124.5,199.2,Moderate
2024-06-04,03:00:00,158,104.0,166.4,Moderate
2024-06-05,04:00:00,123,86.5,138.4,Moderate
2024-06-05,05:00:00,179,114.5,183.2,Moderate
2024-06-05,06:00:00,113,81.5,130.4,Moderate
2024-06-05,07:00:00,235,117.5,188.0,Poor
2024-06-05,08:00:00,198,99.0,158.4,Moderate
2024-06-05,09:00:00,199,99.5,159.2,Moderate
2024-06-05,10:00:00,219,109.5,175.2,Poor
2024-06-05,11:00:00,191,95.5,152.8,Moderate
2024-06-05,12:00:00,185,92.5,148.0,Moderate
2024-06-05,13:00:00,214,107.0,171.2,Poor
2024-06-05,14:00:00,245,122.5,196.0,Poor
2024-06-05,15:00:00,219,109.5,175.2,Poor
2024-06-05,16:00:00,244,122.0,195.2,Poor
2024-06-05,17:00:00,150,75.0,120.0,Moderate
2024-06-05,18:00:00,200,100.0,160.0,Moderate
2024-06-05,19:00:00,186,93.0,148.8,Moderate
2024-06-05,20:00:00,134,92.0,147.2,Moderate
2024-06-05,21:00:00,148,99.0,158.4,Moderate
2024-06-05,22:00:00,193,121.5,194.4,Moderate
2024-06-05,23:00:00,103,76.5,122.4,Moderate
2024-06-05,00:00:00,198,124.0,198.4,Moderate
2024-06-05,01:00:00,142,96.0,153.6,Moderate
2024-06-05,02:00:00,177,113.5,181.6,Moderate
2024-06-05,03:00:00,121,85.5,136.8,Moderate
2024-06-06,04:00:00,173,111.5,178.4,Moderate
2024-06-06,05:00:00,100,75.0,120.0,Satisfactory
2024-06-06,06:00:00,110,80.0,128.0,Moderate
2024-06-06,07:00:00,193,96.5,154.4,Moderate
2024-06-06,08:00:00,208,104.0,166.4,Poor
2024-06-06,09:00:00,173,86.5,138.4,Moderate
2024-06-06,10:00:00,209,104.5,167.2,Poor
2024-06-06,11:00:00,152,76.0,121.6,Moderate
2024-06-06,12:00:00,248,124.0,198.4,Poor
2024-06-06,13:00:00,212,106.0,169.6,Poor
2024-06-06,14:00:00,185,92.5,148.0,Moderate
2024-06-06,15:00:00,244,122.0,195.2,Poor
2024-06-06,16:00:00,217,108.5,173.6,Poor
2024-06-06,17:00:00,232,116.0,185.6,Poor
2024-06-06,18:00:00,196,98.0,156.8,Moderate
2024-06-06,19:00:00,249,124.5,199.2,Poor
2024-06-06,20:00:00,120,85.0,136.0,Moderate
2024-06-06,21:00:00,181,115.5,184.8,Moderate
2024-06-06,22:00:00,150,100.0,160.0,Moderate
2024-06-06,23:00:00,127,88.5,141.6,Moderate
2024-06-06,00:00:00,114,82.0,131.2,Moderate
2024-06-06,01:00:00,141,95.5,152.8,Moderate
2024-06-06,02:00:00,158,104.0,166.4,Moderate
2024-06-06,03:00:00,165,107.5,172.0,Moderate
2024-06-07,04:00:00,136,93.0,148.8,Moderate
2024-06-07,05:00:00,110,80.0,128.0,Moderate
2024-06-07,06:00:00,186,118.0,188.8,Moderate
2024-06-07,07:00:00,193,96.5,154.4,Moderate
2024-06-07,08:00:00,161,80.5,128.8,Moderate
2024-06-07,09:00:00,152,76.0,121.6,Moderate
2024-06-07,10:00:00,201,100.5,160.8,Poor
2024-06-07,11:00:00,230,115.0,184.0,Poor
2024-06-07,12:00:00,182,91.0,145.6,Moderate
2024-06-07,13:00:00,204,102.0,163.2,Poor
2024-06-07,14:00:00,150,75.0,120.0,Moderate
2024-06-07,15:00:00,188,94.0,150.4,Moderate
2024-06-07,16:00:00,169,84.5,135.2,Moderate
2024-06-07,17:00:00,196,98.0,156.8,Moderate
2024-06-07,18:00:00,192,96.0,153.6,Moderate
2024-06-07,19:00:00,206,103.0,164.8,Poor
2024-06-07,20:00:00,160,105.0,168.0,Moderate
2024-06-07,21:00:00,177,113.5,181.6,Moderate
2024-06-07,22:00:00,130,90.0,144.0,Moderate
2024-06-07,23:00:00,124,87.0,139.2,Moderate
2024-06-07,00:00:00,102,76.0,121.6,Moderate
2024-06-07,01:00:00,103,76.5,122.4,Moderate
2024-06-07,02:00:00,194,122.0,195.2,Moderate
2024-06-07,03:00:00,198,124.0,198.4,Moderate
2024-06-08,04:00:00,113,81.5,130.4,Moderate
2024-06-08,05:00:00,140,95.0,152.0,Moderate
2024-06-08,06:00:00,172,111.0,177.6,Moderate
2024-06-08,07:00:00,169,84.5,135.2,Moderate
2024-06-08,08:00:00,245,122.5,196.0,Poor
2024-06-08,09:00:00,222,111.0,177.6,Poor
2024-06-08,10:00:00,176,88.0,140.8,Moderate
2024-06-08,11:00:00,216,108.0,172.8,Poor
2024-06-08,12:00:00,202,101.0,161.6,Poor
2024-06-08,13:00:00,217,108.5,173.6,Poor
2024-06-08,14:00:00,211,105.5,168.8,Poor
2024-06-08,15:00:00,164,82.0,131.2,Moderate
2024-06-08,16:00:00,246,123.0,196.8,Poor
2024-06-08,17:00:00,154,77.0,123.2,Moderate
2024-06-08,18:00:00,217,108.5,173.6,Poor
2024-06-08,19:00:00,161,80.5,128.8,Moderate
2024-06-08,20:00:00,186,118.0,188.8,Moderate
2024-06-08,21:00:00,177,113.5,181.6,Moderate
2024-06-08,22:00:00,175,112.5,180.0,Moderate
2024-06-08,23:00:00,156,103.0,164.8,Moderate
2024-06-08,00:00:00,116,83.0,132.8,Moderate
2024-06-08,01:00:00,124,87.0,139.2,Moderate
2024-06-08,02:00:00,129,89.5,143.2,Moderate
2024-06-08,03:00:00,121,85.5,136.8,Moderate
2024-06-09,04:00:00,125,87.5,140.0,Moderate
2024-06-09,05:00:00,180,115.0,184.0,Moderate
2024-06-09,06:00:00,160,105.0,168.0,Moderate
2024-06-09,07:00:00,211,105.5,168.8,Poor
2024-06-09,08:00:00,233,116.5,186.4,Poor
2024-06-09,09:00:00,183,91.5,146.4,Moderate
2024-06-09,10:00:00,182,91.0,145.6,Moderate
2024-06-09,11:00:00,250,125.0,200.0,Poor
2024-06-09,12:00:00,220,110.0,176.0,Poor
2024-06-09,13:00:00,235,117.5,188.0,Poor
2024-06-09,14:00:00,181,90.5,144.8,Moderate
2024-06-09,15:00:00,163,81.5,130.4,Moderate
2024-06-09,16:00:00,221,110.5,176.8,Poor
2024-06-09,17:00:00,206,103.0,164.8,Poor
2024-06-09,18:00:00,174,87.0,139.2,Moderate
2024-06-09,19:00:00,229,114.5,183.2,Poor
2024-06-09,20:00:00,141,95.5,152.8,Moderate
2024-06-09,21:00:00,118,84.0,134.4,Moderate
2024-06-09,22:00:00,140,95.0,152.0,Moderate
2024-06-09,23:00:00,154,102.0,163.2,Moderate
2024-06-09,00:00:00,179,114.5,183.2,Moderate
2024-06-09,01:00:00,111,80.5,128.8,Moderate
2024-06-09,02:00:00,138,94.0,150.4,Moderate
2024-06-09,03:00:00,193,121.5,194.4,Moderate
2024-06-10,04:00:00,101,75.5,120.8,Moderate
2024-06-10,05:00:00,195,122.5,196.0,Moderate
2024-06-10,06:00:00,144,97.0,155.2,Moderate
2024-06-10,07:00:00,238,119.0,190.4,Poor
2024-06-10,08:00:00,174,87.0,139.2,Moderate
2024-06-10,09:00:00,217,108.5,173.6,Poor
2024-06-10,10:00:00,232,116.0,185.6,Poor
2024-06-10,11:00:00,153,76.5,122.4,Moderate
2024-06-10,12:00:00,226,113.0,180.8,Poor
2024-06-10,13:00:00,185,92.5,148.0,Moderate
2024-06-10,14:00:00,236,118.0,188.8,Poor
2024-06-10,15:00:00,211,105.5,168.8,Poor
2024-06-10,16:00:00,219,109.5,175.2,Poor
2024-06-10,17:00:00,237,118.5,189.6,Poor
2024-06-10,18:00:00,193,96.5,154.4,Moderate
2024-06-10,19:00:00,182,91.0,145.6,Moderate
2024-06-10,20:00:00,111,80.5,128.8,Moderate
2024-06-10,21:00:00,184,117.0,187.2,Moderate
2024-06-10,22:00:00,110,80.0,128.0,Moderate
2024-06-10,23:00:00,154,102.0,163.2,Moderate
2024-06-10,00:00:00,137,93.5,149.6,Moderate
2024-06-10,01:00:00,128,89.0,142.4,Moderate
2024-06-10,02:00:00,102,76.0,121.6,Moderate
2024-06-10,03:00:00,127,88.5,141.6,Moderate
2024-06-11,04:00:00,183,116.5,186.4,Moderate
2024-06-11,05:00:00,189,119.5,191.2,Moderate
2024-06-11,06:00:00,123,86.5,138.4,Moderate
2024-06-11,07:00:00,203,101.5,162.4,Poor
2024-06-11,08:00:00,201,100.5,160.8,Poor
2024-06-11,09:00:00,196,98.0,156.8,Moderate
2024-06-11,10:00:00,170,85.0,136.0,Moderate
2024-06-11,11:00:00,203,101.5,162.4,Poor
2024-06-11,12:00:00,179,89.5,143.2,Moderate
2024-06-11,13:00:00,217,108.5,173.6,Poor
2024-06-11,14:00:00,185,92.5,148.0,Moderate
2024-06-11,15:00:00,189,94.5,151.2,Moderate
2024-06-11,16:00:00,159,79.5,127.2,Moderate
2024-06-11,17:00:00,223,111.5,178.4,Poor
2024-06-11,18:00:00,191,95.5,152.8,Moderate
2024-06-11,19:00:00,173,86.5,138.4,Moderate
2024-06-11,20:00:00,103,76.5,122.4,Moderate
2024-06-11,21:00:00,146,98.0,156.8,Moderate
2024-06-11,22:00:00,190,120.0,192.0,Moderate
2024-06-11,23:00:00,150,100.0,160.0,Moderate
2024-06-11,00:00:00,103,76.5,122.4,Moderate
2024-06-11,01:00:00,131,90.5,144.8,Moderate
2024-06-11,02:00:00,109,79.5,127.2,Moderate
2024-06-11,03:00:00,110,80.0,128.0,Moderate
2024-06-12,04:00:00,127,88.5,141.6,Moderate
2024-06-12,05:00:00,145,97.5,156.0,Moderate
2024-06-12,06:00:00,171,110.5,176.8,Moderate
2024-06-12,07:00:00,189,94.5,151.2,Moderate
2024-06-12,08:00:00,211,105.5,168.8,Poor
2024-06-12,09:00:00,235,117.5,188.0,Poor
2024-06-12,10:00:00,247,123.5,197.6,Poor
2024-06-12,11:00:00,194,97.0,155.2,Moderate
2024-06-12,12:00:00,184,92.0,147.2,Moderate
2024-06-12,13:00:00,184,92.0,147.2,Moderate
2024-06-12,14:00:00,238,119.0,190.4,Poor
2024-06-12,15:00:00,183,91.5,146.4,Moderate
2024-06-12,16:00:00,155,77.5,124.0,Moderate
2024-06-12,17:00:00,186,93.0,148.8,Moderate
2024-06-12,18:00:00,150,75.0,120.0,Moderate
2024-06-12,19:00:00,225,112.5,180.0,Poor
2024-06-12,20:00:00,134,92.0,147.2,Moderate
2024-06-12,21:00:00,169,109.5,175.2,Moderate
2024-06-12,22:00:00,153,101.5,162.4,Moderate
2024-06-12,23:00:00,180,115.0,184.0,Moderate
2024-06-12,00:00:00,162,106.0,169.6,Moderate
2024-06-12,01:00:00,108,79.0,126.4,Moderate
2024-06-12,02:00:00,161,105.5,168.8,Moderate
2024-06-12,03:00:00,101,75.5,120.8,Moderate
2024-06-13,04:00:00,181,115.5,184.8,Moderate
2024-06-13,05:00:00,135,92.5,148.0,Moderate
2024-06-13,06:00:00,191,120.5,192.8,Moderate
2024-06-13,07:00:00,190,95.0,152.0,Moderate
2024-06-13,08:00:00,186,93.0,148.8,Moderate
2024-06-13,09:00:00,198,99.0,158.4,Moderate
2024-06-13,10:00:00,175,87.5,140.0,Moderate
2024-06-13,11:00:00,217,108.5,173.6,Poor
2024-06-13,12:00:00,185,92.5,148.0,Moderate
2024-06-13,13:00:00,180,90.0,144.0,Moderate
2024-06-13,14:00:00,179,89.5,143.2,Moderate
